attendance,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,result,Home Team Pre-Match xG,Away Team Pre-Match xG,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win
74439,1,0.00,0.00,1.89,1.32,2,1,0,0.00,0.00,0.00,0.00,1.37,4.98,9.81
51749,1,0.00,0.00,1.32,1.74,1,2,1,0.00,0.00,0.00,0.00,4.51,3.77,1.84
10353,1,0.00,0.00,1.53,0.74,2,0,0,0.00,0.00,0.00,0.00,2.03,3.51,3.96
24821,1,0.00,0.00,1.11,1.53,0,2,1,0.00,0.00,0.00,0.00,2.31,3.44,3.26
24121,1,0.00,0.00,0.47,1.58,0,3,1,0.00,0.00,0.00,0.00,7.47,4.27,1.51
20051,1,0.00,0.00,1.42,0.68,2,0,0,0.00,0.00,0.00,0.00,2.26,3.35,3.45
31231,1,0.00,0.00,1.79,1.05,2,2,2,0.00,0.00,0.00,0.00,2.57,3.39,2.89
53235,1,0.00,0.00,2.79,1.11,4,0,0,0.00,0.00,0.00,0.00,1.33,5.56,9.99
30784,1,0.00,0.00,1.21,0.89,0,0,2,0.00,0.00,0.00,0.00,1.93,3.47,4.48
59934,1,0.00,0.00,2.37,2.32,0,2,1,0.00,0.00,0.00,0.00,3.70,3.81,2.01
30720,2,0.00,0.00,1.05,1.05,0,0,2,0.00,0.00,0.00,0.00,3.01,3.11,2.66
38601,2,0.00,0.00,1.79,0.84,2,1,0,0.00,0.00,0.00,0.00,2.07,3.36,4.02
32043,2,0.00,0.00,1.42,1.21,2,0,0,0.00,0.00,0.00,0.00,2.08,3.48,3.83
58297,2,0.00,0.00,2.00,0.26,3,1,0,0.00,0.00,0.00,0.00,1.28,6.05,9.99
56888,2,0.00,0.00,1.63,0.84,1,2,1,0.00,0.00,0.00,0.00,2.24,3.52,3.35
40491,2,0.00,0.00,2.21,1.32,3,2,0,0.00,0.00,0.00,0.00,1.91,3.95,4.20
18822,2,0.00,0.00,1.21,1.21,1,3,1,0.00,0.00,0.00,0.00,2.40,3.08,3.46
54021,2,0.00,0.00,2.84,0.37,6,1,0,0.00,0.00,0.00,0.00,1.09,9.99,9.99
30592,2,0.00,0.00,1.21,1.58,3,2,0,0.00,0.00,0.00,0.00,5.29,3.56,1.79
25750,2,0.00,0.00,1.05,2.32,0,2,1,0.00,0.00,0.00,0.00,6.76,4.74,1.49
31222,3,1.00,3.00,1.79,2.32,1,1,2,1.41,1.91,12.00,2.00,9.99,6.28,1.27
10654,3,3.00,1.00,1.53,1.05,2,2,2,1.50,1.34,13.00,4.00,2.52,3.32,3.02
59830,3,0.00,0.00,2.37,1.11,3,1,0,1.11,0.75,6.00,4.00,1.51,4.59,6.65
21193,3,0.00,0.00,0.47,0.74,0,0,2,0.90,0.89,6.00,3.00,2.25,3.21,3.66
29925,3,1.00,0.00,1.21,1.32,1,2,1,1.29,1.46,13.00,1.00,2.44,3.21,3.25
53294,3,3.00,0.00,2.79,0.68,1,0,0,2.12,0.65,7.00,3.00,1.18,7.93,9.99
20014,3,3.00,3.00,1.42,1.53,2,1,0,1.78,1.81,13.00,4.00,2.49,3.31,3.07
23438,3,0.00,1.00,1.11,0.89,4,2,0,1.67,1.69,10.00,2.00,2.48,3.20,3.19
51791,3,0.00,3.00,1.32,1.58,1,2,1,1.18,1.17,8.00,3.00,5.20,3.70,1.76
74400,3,3.00,3.00,1.89,1.74,0,3,1,1.25,1.58,7.00,4.00,2.19,3.45,3.53
32149,4,3.00,3.00,1.42,2.32,1,2,1,0.81,1.70,8.00,5.00,6.34,4.59,1.53
30526,4,3.00,0.00,1.21,0.26,2,2,2,0.97,1.04,5.00,1.00,2.19,3.35,3.63
40178,4,3.00,3.00,2.21,0.84,2,0,0,2.47,1.31,9.00,2.00,1.29,5.98,9.99
25495,4,0.00,0.00,1.05,0.84,0,2,1,1.03,1.33,11.00,8.00,2.03,3.42,4.11
38767,4,3.00,0.00,1.79,0.37,1,1,2,1.69,0.59,5.00,2.00,1.50,4.34,7.53
59947,4,0.00,0.00,1.63,1.21,0,1,1,1.39,1.53,15.00,7.00,2.54,3.35,2.96
53946,4,3.00,1.00,2.84,1.05,2,1,0,3.23,1.22,15.00,4.00,1.12,9.99,9.99
32316,4,1.00,0.00,1.05,1.32,2,3,1,1.03,1.61,6.00,4.00,5.54,4.07,1.66
21525,4,0.00,0.00,1.21,1.58,0,2,1,1.09,1.06,10.00,2.00,5.92,3.59,1.72
20141,4,3.00,3.00,1.42,1.74,2,1,0,1.64,1.34,10.50,5.50,5.20,4.08,1.69
80188,5,3.00,3.00,2.00,2.32,1,2,1,2.75,1.46,10.50,1.50,3.20,3.60,2.30
10543,5,2.00,1.50,1.53,1.32,4,2,0,1.63,1.35,10.50,2.50,2.40,3.45,3.10
40499,5,3.00,0.50,2.21,0.74,4,1,0,2.16,1.18,11.50,2.00,1.16,9.00,21.75
23696,5,0.50,1.50,0.47,1.53,0,1,1,0.83,1.51,8.50,4.00,3.35,3.20,2.45
53307,5,3.00,0.50,2.84,0.26,3,0,0,2.79,1.13,8.50,1.50,1.10,13.75,28.75
52165,5,0.00,1.50,1.32,1.32,1,2,1,0.93,1.98,8.50,5.50,4.55,3.85,1.87
20537,5,3.00,1.50,1.42,1.58,1,2,1,1.47,1.56,10.67,5.67,4.55,3.65,1.91
30406,5,1.00,0.50,1.79,0.89,1,0,0,1.18,1.38,8.50,1.50,1.77,3.55,5.85
39161,5,2.00,0.00,1.79,1.11,1,3,1,1.38,1.10,6.00,4.00,2.00,3.60,4.15
27742,5,0.50,0.00,1.21,0.68,2,2,2,1.42,0.71,12.50,3.00,2.05,3.30,4.20
23418,6,1.50,3.00,1.11,1.21,1,1,2,2.16,1.25,7.50,3.50,2.85,3.45,2.55
18636,6,0.00,1.50,1.21,0.84,4,0,0,1.11,1.16,8.50,3.50,3.05,3.30,2.45
32321,6,0.50,2.00,1.05,2.32,0,5,1,1.26,1.88,13.00,4.50,20.50,8.75,1.15
25679,6,0.00,0.50,1.05,1.05,0,0,2,1.43,0.92,9.00,4.00,2.05,3.40,4.05
31676,6,1.50,0.50,1.42,0.37,3,1,0,1.10,0.96,5.50,6.00,1.71,3.65,5.70
50965,6,3.00,1.50,2.79,0.84,3,0,0,2.19,1.50,11.00,4.00,1.19,7.75,16.25
74489,6,1.50,1.50,1.89,1.21,1,1,2,1.63,1.64,10.00,3.00,1.67,3.95,5.70
30531,6,2.00,2.00,1.21,1.74,1,2,1,1.33,1.38,10.67,4.00,5.40,3.95,1.69
56875,6,0.00,3.00,1.63,1.58,0,0,2,1.35,1.43,10.00,5.00,5.55,4.30,1.61
59964,6,1.50,1.00,2.37,1.05,2,0,0,1.56,1.25,8.50,5.50,1.43,5.10,7.25
56938,7,0.33,2.00,1.63,1.58,3,1,0,1.14,1.50,9.67,6.33,4.20,3.60,1.95
60019,7,2.00,2.00,2.37,1.21,2,0,0,1.47,1.40,9.67,3.17,1.49,4.75,6.70
38788,7,1.33,0.33,1.79,0.26,3,0,0,1.42,1.11,5.66,2.67,1.67,4.20,5.35
23885,7,0.33,2.25,0.47,1.74,0,2,1,1.03,1.46,10.67,3.42,6.40,4.05,1.59
54152,7,3.00,0.33,2.84,0.68,2,0,0,2.66,0.89,11.67,2.00,1.09,12.00,33.00
51523,7,0.00,1.00,1.32,1.32,0,2,1,0.85,1.51,10.34,3.67,2.75,3.20,2.80
31147,7,1.67,1.00,1.79,0.84,2,0,0,1.59,1.20,10.00,3.67,1.91,3.50,4.55
40625,7,3.00,3.00,2.21,2.32,1,1,2,2.06,1.61,10.67,1.67,2.65,3.45,2.70
30411,7,0.33,0.33,1.05,0.89,1,2,1,1.02,1.24,6.67,4.00,2.55,3.05,3.20
10199,7,2.33,2.00,1.53,1.53,2,1,0,1.47,1.24,9.34,4.00,2.25,3.40,3.35
30544,8,1.33,1.00,1.21,1.11,1,0,0,1.24,1.11,7.67,5.33,2.75,3.30,2.75
20533,8,1.00,0.33,1.21,0.37,1,1,2,1.15,0.95,5.66,3.67,2.10,3.10,4.20
25715,8,0.33,1.33,1.05,1.21,0,1,1,1.48,1.66,13.00,2.67,2.80,3.20,2.75
32007,8,2.00,0.67,1.42,1.05,1,2,1,1.37,1.32,8.34,6.00,2.30,3.35,3.35
43268,8,1.50,0.33,2.00,0.74,1,0,0,1.89,1.09,10.00,0.67,1.24,6.40,15.00
20139,8,2.25,1.00,1.42,0.84,0,4,1,1.45,1.31,11.75,3.83,2.15,3.55,3.55
74519,8,1.33,0.67,1.89,1.05,3,2,0,1.61,0.93,7.33,3.34,1.44,4.50,8.50
25401,8,1.33,2.00,1.11,1.32,1,5,1,1.86,1.68,11.00,3.67,5.15,4.35,1.65
27077,8,0.67,2.33,1.21,1.58,0,3,1,1.45,1.59,12.33,2.67,6.10,4.10,1.61
52117,8,3.00,2.33,2.79,2.32,0,0,2,1.93,1.96,15.00,2.34,2.60,3.50,2.75
40721,9,2.50,1.50,2.21,1.58,2,2,2,1.84,1.42,12.00,3.00,1.71,3.95,5.20
10986,9,2.50,0.75,1.53,0.84,0,0,2,1.45,1.27,10.00,4.50,2.30,3.45,3.25
29681,9,0.25,0.25,1.05,0.26,4,2,0,1.25,0.99,6.75,3.25,2.50,3.40,2.95
54094,9,3.00,1.00,2.84,0.89,5,0,0,2.68,1.11,11.75,2.25,1.07,15.50,33.75
50329,9,0.00,0.25,1.32,0.68,0,1,1,0.82,0.78,9.00,3.50,2.20,3.20,3.80
56921,9,1.00,2.40,1.63,1.74,0,1,1,1.14,1.45,8.55,4.30,3.95,3.70,1.95
31144,9,2.00,1.33,1.79,1.21,0,2,1,1.59,1.45,11.33,3.17,1.77,3.60,5.50
24263,9,0.25,2.50,0.47,2.32,0,1,1,1.12,1.65,9.00,3.00,10.75,5.60,1.33
38668,9,1.75,1.50,1.79,1.53,2,0,0,1.48,1.19,9.00,3.75,1.83,3.55,4.85
59886,9,2.25,1.50,2.37,1.32,3,1,0,1.41,1.48,10.75,3.25,1.51,4.60,6.50
30654,10,1.75,1.75,1.21,1.21,1,0,0,1.27,1.48,9.25,4.00,3.20,3.15,2.50
25071,10,1.00,1.50,1.11,0.84,0,3,1,1.78,1.38,12.00,3.00,2.95,3.70,2.35
53373,10,2.50,0.25,2.79,0.74,4,1,0,1.69,1.16,9.25,2.00,1.10,10.50,30.00
30736,10,0.50,0.50,1.21,1.05,0,0,2,1.48,1.15,9.75,4.50,2.10,3.35,3.85
20457,10,1.80,0.50,1.42,0.37,3,0,0,1.34,1.04,10.85,5.00,1.74,3.60,5.45
31848,10,1.50,0.75,1.42,1.11,1,1,2,1.27,1.30,6.75,6.25,2.20,3.35,3.40
21430,10,1.00,2.50,1.21,1.58,0,4,1,1.05,1.62,10.25,2.50,10.50,4.95,1.36
25718,10,0.25,2.25,1.05,1.32,2,2,2,1.48,1.65,11.00,3.50,4.85,4.20,1.71
74525,10,1.75,1.25,1.89,1.05,2,1,0,1.80,1.47,12.25,4.25,1.74,3.90,5.05
56854,10,2.00,2.00,2.00,2.32,0,1,1,1.94,1.70,13.58,3.00,5.35,4.25,1.65
10792,11,2.20,1.40,1.53,1.58,1,2,1,1.39,1.36,11.20,5.00,3.90,3.65,2.05
30877,11,0.80,1.20,1.05,1.32,0,1,1,1.37,1.36,10.00,3.60,3.40,3.30,2.35
38966,11,2.00,0.80,1.79,0.68,3,1,0,1.55,0.81,9.60,3.60,1.61,4.00,6.95
49157,11,0.00,1.75,1.32,1.21,1,0,0,1.14,1.32,10.90,2.50,2.80,3.25,2.80
56862,11,0.80,0.80,1.63,0.89,4,2,0,1.24,0.98,7.80,4.80,1.67,4.00,5.95
59993,11,2.40,2.60,2.37,2.32,1,1,2,1.55,1.52,9.80,3.20,4.00,3.95,1.95
31185,11,1.60,2.50,1.79,1.74,2,3,1,1.48,1.36,11.40,3.30,3.50,3.40,2.25
53916,11,3.00,0.80,2.84,0.84,6,1,0,2.61,1.24,13.60,2.60,1.13,10.75,23.25
40407,11,2.20,1.20,2.21,1.53,3,1,0,1.86,1.18,9.00,3.00,1.32,5.85,10.50
17082,11,0.20,0.20,0.47,0.26,1,0,0,1.10,1.03,6.20,3.20,2.40,3.35,3.30
29402,12,0.67,0.67,1.05,0.68,2,1,0,1.36,0.80,8.16,4.00,2.60,3.05,3.10
24069,12,0.67,0.80,0.47,1.11,1,1,2,1.13,1.27,7.40,4.33,3.35,3.30,2.35
32184,12,1.40,0.67,1.42,0.89,0,0,2,1.52,0.94,6.60,5.30,1.53,4.20,7.00
49266,12,0.50,1.80,1.32,0.84,2,1,0,1.11,1.44,12.67,2.20,3.00,3.35,2.50
28153,12,0.60,1.40,1.21,1.21,1,1,2,1.57,1.32,11.40,4.40,2.40,3.30,3.20
25685,12,0.40,2.57,1.05,1.74,0,1,1,1.51,1.39,11.23,3.37,4.85,3.95,1.74
53128,12,2.60,0.17,2.79,0.26,2,0,0,1.77,0.96,8.27,2.43,1.12,10.75,22.25
40345,12,2.33,1.00,2.21,1.05,0,0,2,1.85,1.51,11.20,2.87,1.40,5.15,8.25
60030,12,2.17,1.40,2.37,1.21,1,1,2,1.54,1.62,11.17,3.07,1.62,4.15,5.70
