,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attendance,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,result,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win
74439,1,0.00,0.00,1.89,1.32,2,1,0,5,2,0,1,0,0,2,0,1,8,8,7,5,1,3,11,8,46,54,0.00,0.00,0.00,0.00,1.37,4.98,9.81
51749,1,0.00,0.00,1.32,1.74,1,2,1,5,2,0,2,0,0,2,1,1,11,13,3,6,8,7,11,12,40,60,0.00,0.00,0.00,0.00,4.51,3.77,1.84
10353,1,0.00,0.00,1.53,0.74,2,0,0,4,1,0,1,0,1,0,1,0,11,7,5,2,6,5,11,9,62,38,0.00,0.00,0.00,0.00,2.03,3.51,3.96
24821,1,0.00,0.00,1.11,1.53,0,2,1,5,1,0,2,0,1,0,1,1,11,11,7,11,4,0,9,11,66,34,0.00,0.00,0.00,0.00,2.31,3.44,3.26
24121,1,0.00,0.00,0.47,1.58,0,3,1,5,2,0,1,0,1,1,0,1,6,8,2,5,4,3,9,8,37,63,0.00,0.00,0.00,0.00,7.47,4.27,1.51
20051,1,0.00,0.00,1.42,0.68,2,0,0,2,2,0,2,0,0,2,1,1,15,6,6,0,9,6,10,16,53,47,0.00,0.00,0.00,0.00,2.26,3.35,3.45
31231,1,0.00,0.00,1.79,1.05,2,2,2,6,0,0,1,1,0,0,2,0,10,9,5,6,5,3,8,7,57,43,0.00,0.00,0.00,0.00,2.57,3.39,2.89
53235,1,0.00,0.00,2.79,1.11,4,0,0,4,1,0,2,0,1,0,0,2,16,5,9,3,7,2,14,9,64,36,0.00,0.00,0.00,0.00,1.33,5.56,9.99
30784,1,0.00,0.00,1.21,0.89,0,0,2,5,0,0,1,0,0,0,1,0,10,13,4,7,6,6,10,9,47,53,0.00,0.00,0.00,0.00,1.93,3.47,4.48
59934,1,0.00,0.00,2.37,2.32,0,2,1,9,2,0,2,0,1,1,1,1,8,14,4,9,4,5,11,14,42,58,0.00,0.00,0.00,0.00,3.70,3.81,2.01
