attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,Result,Home Team Pre-Match xG,Away Team Pre-Match xG
74439,Manchester United,Leicester City,Andre Marriner,1,0.00,0.00,1.89,1.32,2,1,0,0.00,0.00
51749,Newcastle United,Tottenham Hotspur,Martin Atkinson,1,0.00,0.00,1.32,1.74,1,2,1,0.00,0.00
10353,AFC Bournemouth,Cardiff City,Kevin Friend,1,0.00,0.00,1.53,0.74,2,0,0,0.00,0.00
24821,Fulham,Crystal Palace,Mike Dean,1,0.00,0.00,1.11,1.53,0,2,1,0.00,0.00
24121,Huddersfield Town,Chelsea,Chris Kavanagh,1,0.00,0.00,0.47,1.58,0,3,1,0.00,0.00
20051,Watford,Brighton & Hove Albion,Jonathan Moss,1,0.00,0.00,1.42,0.68,2,0,0,0.00,0.00
31231,Wolverhampton Wanderers,Everton,Craig Pawson,1,0.00,0.00,1.79,1.05,2,2,2,0.00,0.00
53235,Liverpool,West Ham United,Anthony Taylor,1,0.00,0.00,2.79,1.11,4,0,0,0.00,0.00
30784,Southampton,Burnley,Graham Scott,1,0.00,0.00,1.21,0.89,0,0,2,0.00,0.00
59934,Arsenal,Manchester City,Michael Oliver,1,0.00,0.00,2.37,2.32,0,2,1,0.00,0.00
30720,Cardiff City,Newcastle United,Craig Pawson,2,0.00,0.00,1.05,1.05,0,0,2,0.00,0.00
38601,Everton,Southampton,Lee Mason,2,0.00,0.00,1.79,0.84,2,1,0,0.00,0.00
32043,Leicester City,Wolverhampton Wanderers,Mike Dean,2,0.00,0.00,1.42,1.21,2,0,0,0.00,0.00
58297,Tottenham Hotspur,Fulham,Anthony Taylor,2,0.00,0.00,2.00,0.26,3,1,0,0.00,0.00
56888,West Ham United,AFC Bournemouth,Stuart Attwell,2,0.00,0.00,1.63,0.84,1,2,1,0.00,0.00
40491,Chelsea,Arsenal,Martin Atkinson,2,0.00,0.00,2.21,1.32,3,2,0,0.00,0.00
18822,Burnley,Watford,Paul Tierney,2,0.00,0.00,1.21,1.21,1,3,1,0.00,0.00
54021,Manchester City,Huddersfield Town,Andre Marriner,2,0.00,0.00,2.84,0.37,6,1,0,0.00,0.00
30592,Brighton & Hove Albion,Manchester United,Kevin Friend,2,0.00,0.00,1.21,1.58,3,2,0,0.00,0.00
25750,Crystal Palace,Liverpool,Michael Oliver,2,0.00,0.00,1.05,2.32,0,2,1,0.00,0.00
31222,Wolverhampton Wanderers,Manchester City,Martin Atkinson,3,1.00,3.00,1.79,2.32,1,1,2,1.41,1.91
10654,AFC Bournemouth,Everton,Lee Probert,3,3.00,1.00,1.53,1.05,2,2,2,1.50,1.34
59830,Arsenal,West Ham United,Graham Scott,3,0.00,0.00,2.37,1.11,3,1,0,1.11,0.75
21193,Huddersfield Town,Cardiff City,Michael Oliver,3,0.00,0.00,0.47,0.74,0,0,2,0.90,0.89
29925,Southampton,Leicester City,Jonathan Moss,3,1.00,0.00,1.21,1.32,1,2,1,1.29,1.46
53294,Liverpool,Brighton & Hove Albion,Chris Kavanagh,3,3.00,0.00,2.79,0.68,1,0,0,2.12,0.65
20014,Watford,Crystal Palace,Anthony Taylor,3,3.00,3.00,1.42,1.53,2,1,0,1.78,1.81
23438,Fulham,Burnley,David Coote,3,0.00,1.00,1.11,0.89,4,2,0,1.67,1.69
